step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.30458658933639526,0.8489583134651184,,,,,,,,2025-09-11T18:07:08.7700000Z
2,0.2805514633655548,0.890625,,,,,,,,2025-09-11T18:07:13.2620000Z
3,0.30803412199020386,0.8697916865348816,,,,,,,,2025-09-11T18:07:14.4530000Z
4,0.3066125810146332,0.859375,,,,,,,,2025-09-11T18:07:18.9330000Z
5,0.3258619010448456,0.84375,,,,,,,,2025-09-11T18:07:23.1140000Z
6,0.26038092374801636,0.8958333134651184,,,,,,,,2025-09-11T18:07:27.5960000Z
7,0.31817826628685,0.84375,,,,,,,,2025-09-11T18:07:31.7620000Z
8,0.2871731221675873,0.8645833134651184,,,,,,,,2025-09-11T18:07:36.2440000Z
9,0.28199881315231323,0.875,,,,,,,,2025-09-11T18:07:40.4230000Z
10,0.2702869474887848,0.8802083134651184,,0.3219699164231618,0.828125,,,,,2025-09-11T18:07:51.0730000Z
11,0.26563847064971924,0.8697916865348816,,,,,,,,2025-09-11T18:07:52.9900000Z
12,0.29133519530296326,0.8802083134651184,,,,,,,,2025-09-11T18:07:54.5230000Z
13,0.255528062582016,0.8697916865348816,,,,,,,,2025-09-11T18:08:01.1170000Z
14,0.25231215357780457,0.9010416865348816,,,,,,,,2025-09-11T18:08:05.6910000Z
15,0.27468520402908325,0.8697916865348816,,,,,,,,2025-09-11T18:08:09.9390000Z
16,0.29959818720817566,0.8645833134651184,,,,,,,,2025-09-11T18:08:14.1930000Z
17,0.3343445360660553,0.8229166865348816,,,,,,,,2025-09-11T18:08:15.4230000Z
18,0.33711016178131104,0.8072916865348816,,,,,,,,2025-09-11T18:08:16.5940000Z
19,0.2634294331073761,0.8802083134651184,,,,,,,,2025-09-11T18:08:20.8720000Z
20,0.2539193630218506,0.9010416865348816,,0.28010275959968567,0.8854166666666666,,,,,2025-09-11T18:08:25.2650000Z
21,0.2791900336742401,0.8697916865348816,,,,,,,,2025-09-11T18:08:30.4350000Z
22,0.31291210651397705,0.8489583134651184,,,,,,,,2025-09-11T18:08:31.6570000Z
23,0.3537193834781647,0.8385416865348816,,,,,,,,2025-09-11T18:08:32.8510000Z
24,0.3199571669101715,0.859375,,,,,,,,2025-09-11T18:08:34.0890000Z
25,0.22914564609527588,0.9114583134651184,,,,,,,,2025-09-11T18:08:35.3190000Z
26,0.3084774911403656,0.8541666865348816,,,,,,,,2025-09-11T18:08:36.5520000Z
