timestamp,mode,target,dataset,alpha,experiments,n_true_labels,method,gamma,mse,avg_ci_length,coverage_rate,execution_time,settings_key
20250912_235716,mse-compare,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0003116288311969,0.0691212122015008,0.96,4.18312406539917,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235716,mse-compare,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Active_Inference,0.5,0.000443899256314,0.0720675743333994,0.9,2.0319559574127197,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235716,mse-compare,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Naive,0.5,0.0005398357274294,0.0970788327790086,0.94,1.987724781036377,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235732,mse-compare,GPT1,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,PGAE,0.5,0.0010895768801294,0.1243907051053194,0.94,5.973198890686035,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235732,mse-compare,GPT1,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0008082093544387,0.1274458923558724,0.96,4.143488883972168,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235732,mse-compare,GPT1,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Active_Inference,0.5,0.0010041422049134,0.135137512745253,0.96,2.0473668575286865,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235732,mse-compare,GPT1,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Naive,0.5,0.0024762736528209,0.1934913536179189,0.94,1.9994890689849856,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235748,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,PGAE,0.5,0.0009944245448734,0.1510574757256517,0.98,5.895744562149048,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235748,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0014428129782672,0.1501694736879825,0.96,4.136105060577393,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235748,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Active_Inference,0.5,0.0018027201306571,0.1642950772472549,0.94,1.9655420780181885,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235748,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Naive,0.5,0.0021097223320371,0.2134570982149146,1.0,1.9322617053985596,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235810,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,PGAE,0.5,0.000675744816288,0.1093048247739969,0.94,6.238938093185425,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235810,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0008140857163089,0.1094984861411132,0.88,8.330671072006226,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235810,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Active_Inference,0.5,0.0009393674784572,0.109651770712123,0.96,3.60205602645874,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235810,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Naive,0.5,0.0014208221013067,0.1539132007322993,0.96,2.573542833328247,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000216,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,PGAE,0.5,0.0022023763692644,0.1545008954275801,0.86,10.041988849639893,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000216,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0011278970902658,0.1445943309463262,0.98,6.954358100891113,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000216,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Active_Inference,0.5,0.0020010685516152,0.170256437374189,0.92,4.170385837554932,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000216,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Naive,0.5,0.0021569572672056,0.2083001442106393,1.0,4.128490924835205,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
