timestamp,dataset,file,question,method,target_ci_width,ci_tolerance,achieved,required_labels,actual_ci_width,alpha,experiments,min_labels,max_labels,label_step,gamma,mse,coverage_rate,variance,execution_time
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,PGAE,0.15,0.0,True,1200,0.14603209306995102,0.95,20,200,10000,50,0.5,0.001115755932789412,1.0,0.0010266013218428517,5.967743873596191
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,Adaptive_PGAE,0.15,0.0,True,1250,0.14707641197981683,0.95,20,200,10000,50,0.5,0.001657858546601211,1.0,0.0015794094123387802,6.452588796615601
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,Active_Inference,0.15,0.0,True,1950,0.14828450118403552,0.95,20,200,10000,50,0.5,0.0019032253075551783,0.9,0.0017752377724954585,1.4810912609100342
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,Naive,0.15,0.0,True,2350,0.1489148928199485,0.95,20,200,10000,50,0.5,0.0004482373125819008,1.0,0.00042966772295156065,1.5252699851989746
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANENERGY,PGAE,0.15,0.0,True,950,0.14746470348742946,0.95,20,200,10000,50,0.5,0.001670984576604286,0.9,0.001663801143013563,4.942104816436768
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANENERGY,Adaptive_PGAE,0.15,0.0,True,1150,0.14573874791783997,0.95,20,200,10000,50,0.5,0.001304150847658482,1.0,0.001288320122071474,9.301703929901123
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANENERGY,Active_Inference,0.15,0.0,True,1450,0.14864362553012822,0.95,20,200,10000,50,0.5,0.0015634623015625612,0.9,0.001532958627672648,1.607038974761963
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANENERGY,Naive,0.15,0.0,True,1850,0.14831191386798975,0.95,20,200,10000,50,0.5,0.0007845912024117046,1.0,0.0007845580715850982,1.7035388946533203
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,MEDICAREALL,PGAE,0.15,0.0,True,1200,0.14550989919664947,0.95,20,200,10000,50,0.5,0.0015822528699536427,0.9,0.0015490394751023658,7.755401134490967
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,MEDICAREALL,Adaptive_PGAE,0.15,0.0,True,1500,0.14266997134451398,0.95,20,200,10000,50,0.5,0.0008714076097069241,1.0,0.0008323279020926615,5.714127779006958
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,MEDICAREALL,Active_Inference,0.15,0.0,True,2050,0.14889255212667046,0.95,20,200,10000,50,0.5,0.0011779189787751636,1.0,0.0011290215058128565,1.4863181114196777
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,MEDICAREALL,Naive,0.15,0.0,True,2350,0.1491526989970115,0.95,20,200,10000,50,0.5,0.0007942818683182881,1.0,0.0007909370755998185,1.4927198886871338
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,IMMIGRATION,PGAE,0.15,0.0,True,1500,0.14795425086609937,0.95,20,200,10000,50,0.5,0.0015346109947983904,0.95,0.00153417145483787,6.795703887939453
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,IMMIGRATION,Adaptive_PGAE,0.15,0.0,True,1550,0.1455368829895181,0.95,20,200,10000,50,0.5,0.0012886556300490295,0.95,0.0012883809329815976,5.4524619579315186
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,IMMIGRATION,Active_Inference,0.15,0.0,True,1850,0.14926594194587445,0.95,20,200,10000,50,0.5,0.0009309058487381495,1.0,0.0009262180133591044,1.557283878326416
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,IMMIGRATION,Naive,0.15,0.0,True,2600,0.14857733302582304,0.95,20,200,10000,50,0.5,0.000681510140911078,1.0,0.0006576627218934905,1.556410789489746
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,WEALTHTAX,PGAE,0.15,0.0,True,1150,0.14691734790181735,0.95,20,200,10000,50,0.5,0.002068395525495815,0.85,0.0020451361994360266,4.618597984313965
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,WEALTHTAX,Adaptive_PGAE,0.15,0.0,True,1200,0.14857581314573476,0.95,20,200,10000,50,0.5,0.0016094355525584838,1.0,0.0009360476008224219,4.582154035568237
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,WEALTHTAX,Active_Inference,0.15,0.0,True,2050,0.14937015865728326,0.95,20,200,10000,50,0.5,0.002273129040926645,0.9,0.002253731694977645,1.5208702087402344
20250913_150952,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,WEALTHTAX,Naive,0.15,0.0,True,2250,0.14875234638365473,0.95,20,200,10000,50,0.5,0.0010094686894653946,1.0,0.0010049264197530907,1.4928429126739502
